pH;Cs;O2;DB;Ox;N4;N3;P4;TE;DE
8,8;274,4;91,3;2,4;1,6;0,1;3,7;0,1;9,8;39
8,5;302,3;78,9;2,4;2,1;0,1;3,3;0,2;12,7;58,9
8,7;293;75,5;1,6;0,6;0,1;7;0;1;23,8
8,2;302,3;83;1,6;1,4;0,2;2;0,2;2,9;112,1
8,5;293;10,8;7,8;3,8;3,1;3;1,8;10,8;150,1
7,8;353,4;16,6;21,6;6,6;10,8;0,9;4,4;12,7;76
8,2;395,3;31,5;37,1;9,2;13,8;2,4;7,8;2,9;59,9
8,5;334,8;83;9,8;3,3;2,8;5,1;1,9;2,9;239,4
8,8;269,7;93,8;3,4;1,7;0,4;4,4;0,1;10,8;188,1
8;358,1;38,2;15,5;2,9;8,7;8,5;5,4;14,7;95
8,3;325,5;69,7;7,3;2,2;3;14,5;4,4;2;75,1
8,5;344,1;83;9;3,2;3,1;5,3;3,4;2,9;299,3
8,8;227,9;83;1,8;1;0,1;3;0,2;10,8;287,9
8,4;265,1;68,1;8,8;1,8;0,6;4,1;0,7;12,7;294,5
8,9;251,1;87,2;2,9;0,6;0,1;4;0,5;3,9;172
8,4;269,7;83;1,3;0,9;0;2,4;0,2;2,9;456
